"BrainKey","lsmpath","imagestems","Side","UniqueID","CloneNo","Genotype","Sex","CloneName"
"SAKQ7","SAKQ7-1.lsm","SAKQ7-1","L",3148,1,"fru Syt MARCM","M","pMP-c"
"SAKQ7","SAKQ7-1.lsm","SAKQ7-1","L",3381,2,"fru Syt MARCM","M","vPr-f"
"SAKQ7","SAKQ7-1.lsm","SAKQ7-1","L",3382,3,"fru Syt MARCM","M",NA
"SAKQ7","SAKQ7-1.lsm","SAKQ7-1","L",4185,4,"fru Syt MARCM","M","SN-a"
"SAKQ8","SAKQ8-1.lsm","SAKQ8-1","L",3380,1,"fru Syt MARCM","M",NA
"SAKQ9","SAKQ9-1.lsm","SAKQ9-1","R",3152,1,"fru Syt MARCM","M",NA
"SAKQ9","SAKQ9-1.lsm","SAKQ9-1","L",3379,2,"fru Syt MARCM","M","vMt-c"
"SAKR13","SAKR13-1.lsm","SAKR13-1","L",3155,2,"fru Syt MARCM","M","aSP-b"
"SAKR13","SAKR13-1.lsm","SAKR13-1","R",3154,1,"fru Syt MARCM","M","aDT-e"
"SAKR14","SAKR14-1.lsm","SAKR14-1","R",3378,3,"fru Syt MARCM","M",NA
"SAKR14","SAKR14-1.lsm","SAKR14-1","L",3161,2,"fru Syt MARCM","M","aSP-j"
"SAKR14","SAKR14-1.lsm","SAKR14-1","R",3159,1,"fru Syt MARCM","M","pIP-h"
"SAKR15","SAKR15-1.lsm","SAKR15-1","L",3377,1,"fru Syt MARCM","M",NA
"SAKR16","SAKR16-1.lsm","SAKR16-1","L",3373,2,"fru Syt MARCM","M","vMt-a"
"SAKR16","SAKR16-1.lsm","SAKR16-1","R",3372,1,"fru Syt MARCM","M",NA
"SAKR16","SAKR16-1.lsm","SAKR16-1","R",3375,3,"fru Syt MARCM","M",NA
"SAKR17","SAKR17-1.lsm","SAKR17-1","R",3370,3,"fru Syt MARCM","M","vMs-i"
"SAKR17","SAKR17-1.lsm","SAKR17-1","L",3368,1,"fru Syt MARCM","M",NA
"SAKR17","SAKR17-1.lsm","SAKR17-1","R",3369,2,"fru Syt MARCM","M",NA
"SAKR18","SAKR18-1.lsm","SAKR18-1","L",3202,2,"fru Syt MARCM","M","pIP-"
"SAKR18","SAKR18-1.lsm","SAKR18-1","R",3201,1,"fru Syt MARCM","M",NA
"SAKR19","SAKR19-1.lsm","SAKR19-1","L",4186,3,"fru Syt MARCM","M","SN-d"
"SAKR19","SAKR19-1.lsm","SAKR19-1","R",3205,2,"fru Syt MARCM","M","pSP-a"
"SAKR19","SAKR19-1.lsm","SAKR19-1","L",3203,1,"fru Syt MARCM","M",NA
"SAKR2","SAKR2-1.lsm","SAKR2-1","L",3207,1,"fru Syt MARCM","M","pMP-e"
"SAKR20","SAKR20-1.lsm","SAKR20-1","R",3208,1,"fru Syt MARCM","M",NA
"SAKR21","SAKR21-1.lsm","SAKR21-1","L",3367,1,"fru Syt MARCM","M","dPr-d"
"SAKR22","SAKR22-1.lsm","SAKR22-1","R",3366,1,"fru Syt MARCM","M","dPr-a"
"SAKR3","SAKR3-1.lsm","SAKR3-1","L",3214,3,"fru Syt MARCM","M",NA
"SAKR3","SAKR3-1.lsm","SAKR3-1","R",3216,4,"fru Syt MARCM","M","aSP-m"
"SAKR3","SAKR3-1.lsm","SAKR3-1","L",3213,2,"fru Syt MARCM","M","MB"
"SAKR4","SAKR4-1.lsm","SAKR4-1","L",3221,2,"fru Syt MARCM","M",NA
"SAKR4","SAKR4-1.lsm","SAKR4-1","L",3223,4,"fru Syt MARCM","M",NA
"SAKR4","SAKR4-1.lsm","SAKR4-1","L",3220,1,"fru Syt MARCM","M",NA
"SAKR4","SAKR4-1.lsm","SAKR4-1","R",3222,3,"fru Syt MARCM","M",NA
"SAKR5","SAKR5-1.lsm","SAKR5-1","L",3227,1,"fru Syt MARCM","M","pIP-d"
"SAKR5","SAKR5-1.lsm","SAKR5-1","L",4187,3,"fru Syt MARCM","M","SN-d"
"SAKR5","SAKR5-1.lsm","SAKR5-1","R",3364,2,"fru Syt MARCM","M","vMt-c"
"SAKR6","SAKR6-1.lsm","SAKR6-1","R",3228,1,"fru Syt MARCM","M",NA
"SAKR6","SAKR6-1.lsm","SAKR6-1","L",3233,2,"fru Syt MARCM","M","aDT-e"
"SAKR7","SAKR7-1.lsm","SAKR7-1","R",3362,1,"fru Syt MARCM","M","vPr-c"
"SAKR7","SAKR7-1.lsm","SAKR7-1","R",3363,2,"fru Syt MARCM","M","vMt-e"
"SAKR8","SAKR8-1.lsm","SAKR8-1","L",3236,2,"fru Syt MARCM","M",NA
"SAKR8","SAKR8-1.lsm","SAKR8-1","R",3235,1,"fru Syt MARCM","M",NA
"SAKR8","SAKR8-1.lsm","SAKR8-1","L",3361,3,"fru Syt MARCM","M","vPr-l"
"SAKS1","SAKS1-1.lsm","SAKS1-1","R",3238,2,"fru Syt MARCM","M","aIP-c"
"SAKS1","SAKS1-1.lsm","SAKS1-1","L",3360,3,"fru Syt MARCM","M","dMs-b"
"SAKS1","SAKS1-1.lsm","SAKS1-1","L",3237,1,"fru Syt MARCM","M","aDT-e"
"SAKS2","SAKS2-1.lsm","SAKS2-1","L",3241,1,"fru Syt MARCM","M","aIP-g"
"SAKS2","SAKS2-1.lsm","SAKS2-1","R",3359,2,"fru Syt MARCM","M","vPr-g"
"SAKS6","SAKS6-1.lsm","SAKS6-1","R",3358,2,"fru Syt MARCM","M","vMs-d"
"SAKS6","SAKS6-1.lsm","SAKS6-1","R",3242,1,"fru Syt MARCM","M","pIP-h"
"SAKT1","SAKT1-1.lsm","SAKT1-1","L",3246,3,"fru Syt MARCM","M","pSP-f"
"SAKT1","SAKT1-1.lsm","SAKT1-1","R",3244,1,"fru Syt MARCM","M","aSP-m"
"SAKT1","SAKT1-1.lsm","SAKT1-1","L",3250,4,"fru Syt MARCM","M",NA
"SAKT1","SAKT1-1.lsm","SAKT1-1","L",3245,2,"fru Syt MARCM","M","aDT-e"
"SAKT10","SAKT10-1.lsm","SAKT10-1","L",3356,3,"fru Syt MARCM","M",NA
"SAKT10","SAKT10-1.lsm","SAKT10-1","L",3354,1,"fru Syt MARCM","M","vPr-d"
"SAKT11","SAKT11-1.lsm","SAKT11-1","R",3353,1,"fru Syt MARCM","M","vPr-e"
"SAKT13","SAKT13-1.lsm","SAKT13-1","R",3253,1,"fru Syt MARCM","M","pIP-j"
"SAKT13","SAKT13-1.lsm","SAKT13-1","R",3255,3,"fru Syt MARCM","M",NA
"SAKT13","SAKT13-1.lsm","SAKT13-1","R",3254,2,"fru Syt MARCM","M","aSP-m"
"SAKT2","SAKT2-1.lsm","SAKT2-1","R",3352,1,"fru Syt MARCM","M","dMs-b"
"SAKT3","SAKT3-1.lsm","SAKT3-1","L",3351,1,"fru Syt MARCM","M","vPr-h"
"SAKT4","SAKT4-1.lsm","SAKT4-1","R",3257,1,"fru Syt MARCM","M","pIP-g"
"SAKT4","SAKT4-1.lsm","SAKT4-1","L",3260,2,"fru Syt MARCM","M","aSP-b"
"SAKT5","SAKT5-1.lsm","SAKT5-1","L",3350,2,"fru Syt MARCM","M","dPr-c"
"SAKT5","SAKT5-1.lsm","SAKT5-1","R",3262,1,"fru Syt MARCM","M",NA
"SAKT6","SAKT6-1.lsm","SAKT6-1","L",3263,1,"fru Syt MARCM","M","MB"
"SAKT6","SAKT6-1.lsm","SAKT6-1","L",3264,2,"fru Syt MARCM","M",NA
"SAKT7","SAKT7-1.lsm","SAKT7-1","L",4189,4,"fru Syt MARCM","M","SN-a"
"SAKT7","SAKT7-1.lsm","SAKT7-1","L",3265,1,"fru Syt MARCM","M",NA
"SAKT7","SAKT7-1.lsm","SAKT7-1","R",3349,2,"fru Syt MARCM","M",NA
"SAKT7","SAKT7-1.lsm","SAKT7-1","R",4188,3,"fru Syt MARCM","M","SN-c"
"SAKT8","SAKT8-1.lsm","SAKT8-1","L",4190,4,"fru Syt MARCM","M","SN-e"
"SAKT8","SAKT8-1.lsm","SAKT8-1","R",3348,3,"fru Syt MARCM","M","dMt-b"
"SAKT8","SAKT8-1.lsm","SAKT8-1","R",3267,1,"fru Syt MARCM","M",NA
"SAKT8","SAKT8-1.lsm","SAKT8-1","R",3347,2,"fru Syt MARCM","M","dMt-b"
"SAKT9","SAKT9-1.lsm","SAKT9-1","L",3270,2,"fru Syt MARCM","M","aSP-k"
"SAKT9","SAKT9-1.lsm","SAKT9-1","L",3269,1,"fru Syt MARCM","M","MB"
"SAKT9","SAKT9-1.lsm","SAKT9-1","L",3345,3,"fru Syt MARCM","M","vPr-j"
"SAKT9","SAKT9-1.lsm","SAKT9-1","L",3346,4,"fru Syt MARCM","M","dMt-a"
"SAKU1","SAKU1-1.lsm","SAKU1-1","L",3273,1,"fru Syt MARCM","M","aDT-e"
"SAKU10","SAKU10-1.lsm","SAKU10-1","R",3278,3,"fru Syt MARCM","M","aIP-i"
"SAKU10","SAKU10-1.lsm","SAKU10-1","R",3275,1,"fru Syt MARCM","M","aDT-e"
"SAKU10","SAKU10-1.lsm","SAKU10-1","L",3276,2,"fru Syt MARCM","M","aIP-g"
"SAKU11","SAKU11-1.lsm","SAKU11-1","L",3343,1,"fru Syt MARCM","M","dMt-d"
"SAKU11","SAKU11-1.lsm","SAKU11-1","R",3344,2,"fru Syt MARCM","M","vMs-l"
"SAKU12","SAKU12-1.lsm","SAKU12-1","L",3272,2,"fru Syt MARCM","M",NA
"SAKU12","SAKU12-1.lsm","SAKU12-1","R",3277,4,"fru Syt MARCM","M","MB"
"SAKU12","SAKU12-1.lsm","SAKU12-1","L",3271,1,"fru Syt MARCM","M","pIP-j"
"SAKU12","SAKU12-1.lsm","SAKU12-1","R",3274,3,"fru Syt MARCM","M","aDT-e"
"SAKU2","SAKU2-1.lsm","SAKU2-1","L",3268,2,"fru Syt MARCM","M","MB"
"SAKU2","SAKU2-1.lsm","SAKU2-1","L",3266,1,"fru Syt MARCM","M","pIP-e"
"SAKU3","SAKU3-1.lsm","SAKU3-1","L",3259,2,"fru Syt MARCM","M","pSP-a"
"SAKU3","SAKU3-1.lsm","SAKU3-1","R",3261,3,"fru Syt MARCM","M","pIP-h"
"SAKU3","SAKU3-1.lsm","SAKU3-1","L",3258,1,"fru Syt MARCM","M","pMP-e"
"SAKU3","SAKU3-1.lsm","SAKU3-1","R",3342,4,"fru Syt MARCM","M","vMs-m"
"SAKU4","SAKU4-1.lsm","SAKU4-1","L",3251,1,"fru Syt MARCM","M","pSP-e"
"SAKU4","SAKU4-1.lsm","SAKU4-1","L",3252,2,"fru Syt MARCM","M","MB"
"SAKU5","SAKU5-1.lsm","SAKU5-1","L",3341,3,"fru Syt MARCM","M","dMt-b"
"SAKU5","SAKU5-1.lsm","SAKU5-1","L",3249,2,"fru Syt MARCM","M","MB"
"SAKU5","SAKU5-1.lsm","SAKU5-1","R",3248,1,"fru Syt MARCM","M","pSG-b"
"SAKU6","SAKU6-1.lsm","SAKU6-1","R",3336,3,"fru Syt MARCM","M",NA
"SAKU6","SAKU6-1.lsm","SAKU6-1","R",3337,4,"fru Syt MARCM","M","vPr-h"
"SAKU6","SAKU6-1.lsm","SAKU6-1","L",3338,5,"fru Syt MARCM","M",NA
"SAKU6","SAKU6-1.lsm","SAKU6-1","L",3340,7,"fru Syt MARCM","M","vMt-g"
"SAKU6","SAKU6-1.lsm","SAKU6-1","L",3339,6,"fru Syt MARCM","M",NA
"SAKU6","SAKU6-1.lsm","SAKU6-1","R",3243,1,"fru Syt MARCM","M","MB"
"SAKU6","SAKU6-1.lsm","SAKU6-1","L",3335,2,"fru Syt MARCM","M",NA
"SAKU7","SAKU7-1.lsm","SAKU7-1","L",4191,4,"fru Syt MARCM","M","SN-e"
