Filename,Genotype,Sex,RegistrationFile,FullRegistrationPath,Quality,Sections,PixelSize,Step,Lens
"SAGD4-1","fru MARCM","F","SAGD4-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGD4-1_01_warp_m0g80c8e1e-1x26r4.list","4","162",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGD5-1","fru MARCM","F","SAGD5-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGD5-1_01_warp_m0g80c8e1e-1x26r4.list","5","158",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGD6-1","fru MARCM","F","SAGD6-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGD6-1_01_warp_m0g80c8e1e-1x26r4.list","3","161",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGD7-1","fru MARCM","F","SAGD7-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGD7-1_01_warp_m0g80c8e1e-1x26r4.list","5","144",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGD8-1","fru MARCM","F","SAGD8-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGD8-1_01_warp_m0g80c8e1e-1x26r4.list","1","124",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGE1-1","fru MARCM","F","SAGE1-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGE1-1_01_warp_m0g80c8e1e-1x26r4.list","4","170",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGE10-1","fru MARCM","F","SAGE10-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGE10-1_01_warp_m0g80c8e1e-1x26r4.list","2","158",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGE11-1","fru MARCM","F","SAGE11-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGE11-1_01_warp_m0g80c8e1e-1x26r4.list","5","169",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGE13-1","fru MARCM","F","SAGE13-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGE13-1_01_warp_m0g80c8e1e-1x26r4.list","2","169",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGE2-1","fru MARCM","F","SAGE2-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGE2-1_01_warp_m0g80c8e1e-1x26r4.list","3","145",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGE3-1","fru MARCM","F","SAGE3-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGE3-1_01_warp_m0g80c8e1e-1x26r4.list","2","155",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGE4-1","fru MARCM","F","SAGE4-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGE4-1_01_warp_m0g80c8e1e-1x26r4.list","2","150",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGE6-1","fru MARCM","F","SAGE6-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGE6-1_01_warp_m0g80c8e1e-1x26r4.list","3","149",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGE7-1","fru MARCM","F","SAGE7-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGE7-1_01_warp_m0g80c8e1e-1x26r4.list","2","148",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGE8-1","fru MARCM","F","SAGE8-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGE8-1_01_warp_m0g80c8e1e-1x26r4.list","4","159",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGE9-1","fru MARCM","F","SAGE9-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGE9-1_01_warp_m0g80c8e1e-1x26r4.list","2","151",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGF11-1","fru MARCM","F","SAGF11-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGF11-1_01_warp_m0g80c8e1e-1x26r4.list","3","150",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGF12-1","fru MARCM","F","SAGF12-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGF12-1_01_warp_m0g80c8e1e-1x26r4.list","3","166",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGF13-1","fru MARCM","F","SAGF13-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGF13-1_01_warp_m0g80c8e1e-1x26r4.list","3","143",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGF14-1","fru MARCM","F","SAGF14-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGF14-1_01_warp_m0g80c8e1e-1x26r4.list","2","148",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
