Filename,Genotype,Sex,RegistrationFile,FullRegistrationPath,Quality,Sections,PixelSize,Step,Lens
"SAGP22-1","fru MARCM","F","SAGP22-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP22-1_01_warp_m0g80c8e1e-1x26r4.list","5","176",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP24-1","fru MARCM","F","SAGP24-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP24-1_01_warp_m0g80c8e1e-1x26r4.list","3","175",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP25-1","fru MARCM","F","SAGP25-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP25-1_01_warp_m0g80c8e1e-1x26r4.list","5","177",".461258789424355","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP26-1","fru MARCM","F","SAGP26-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP26-1_01_warp_m0g80c8e1e-1x26r4.list","3","171",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP28-1","fru MARCM","F","SAGP28-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP28-1_01_warp_m0g80c8e1e-1x26r4.list","4","185",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP29-1","fru MARCM","F","SAGP29-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP29-1_01_warp_m0g80c8e1e-1x26r4.list","4","184",".461258789424355","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP30-1","fru MARCM","F","SAGP30-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP30-1_01_warp_m0g80c8e1e-1x26r4.list","3","181",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP31-1","fru MARCM","F","SAGP31-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP31-1_01_warp_m0g80c8e1e-1x26r4.list","2","176",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP32-1","fru MARCM","F","SAGP32-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP32-1_01_warp_m0g80c8e1e-1x26r4.list","4","179",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP33-1","fru MARCM","F","SAGP33-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP33-1_01_warp_m0g80c8e1e-1x26r4.list","3","183",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
